Detector Type,Descriptor Type,Frame ID,Number of Keypoints,Time for Keypoint Detection [ms],Time for Descriptor Extraction [ms],Number of Matched Points,Time for Matching [ms]
SHITOMASI,BRISK,0,1370,13.47171400,1.37090200,0,0.00000000
SHITOMASI,BRISK,1,1301,10.79049400,0.94411100,125,0.20796600
SHITOMASI,BRISK,2,1361,11.23522200,0.97849200,118,0.34679900
SHITOMASI,BRISK,3,1358,10.40445800,1.04514300,123,0.16109300
SHITOMASI,BRISK,4,1333,8.72571400,1.02755200,120,0.14573800
SHITOMASI,BRISK,5,1284,9.73280400,0.99304100,120,0.14678600
SHITOMASI,BRISK,6,1322,8.70029600,0.92085300,113,0.15595100
SHITOMASI,BRISK,7,1366,8.41454500,1.00070300,114,1.67291700
SHITOMASI,BRISK,8,1389,8.18480400,0.90527400,123,0.14202200
SHITOMASI,BRISK,9,1339,10.14187700,0.90658100,111,1.64223700

SHITOMASI,BRIEF,0,1370,8.36840800,0.62715900,0,0.00000000
SHITOMASI,BRIEF,1,1301,9.15892000,0.43494500,125,1.47235200
SHITOMASI,BRIEF,2,1361,11.18309500,0.65938100,118,0.16289800
SHITOMASI,BRIEF,3,1358,9.30082100,0.48657100,123,0.11176900
SHITOMASI,BRIEF,4,1333,8.33933400,0.59019600,120,0.12679800
SHITOMASI,BRIEF,5,1284,8.75507900,0.69644800,120,0.15970500
SHITOMASI,BRIEF,6,1322,8.26960100,0.68658500,113,0.10109200
SHITOMASI,BRIEF,7,1366,8.50869500,1.01949200,114,0.14075700
SHITOMASI,BRIEF,8,1389,10.49193700,0.59275500,123,0.11415100
SHITOMASI,BRIEF,9,1339,8.90627600,0.71289000,111,0.11996500

SHITOMASI,ORB,0,1370,8.39892700,0.88969900,0,0.00000000
SHITOMASI,ORB,1,1301,8.80209700,0.92422700,125,0.11113000
SHITOMASI,ORB,2,1361,8.20848200,1.14743800,118,0.13135800
SHITOMASI,ORB,3,1358,9.48968400,1.18953400,123,0.12829400
SHITOMASI,ORB,4,1333,9.99688400,0.94094700,120,0.12791000
SHITOMASI,ORB,5,1284,8.46182900,0.72301900,120,0.11538500
SHITOMASI,ORB,6,1322,8.51050000,0.85422100,113,0.14047200
SHITOMASI,ORB,7,1366,8.67426600,0.75439000,114,0.11742600
SHITOMASI,ORB,8,1389,9.31420000,0.70097000,123,0.12515100
SHITOMASI,ORB,9,1339,10.86540100,0.83623500,111,0.11786000

SHITOMASI,FREAK,0,1370,9.05540000,26.32935800,0,0.00000000
SHITOMASI,FREAK,1,1301,9.53977900,26.54805100,125,0.16217900
SHITOMASI,FREAK,2,1361,7.78783500,26.06484100,118,0.16063800
SHITOMASI,FREAK,3,1358,10.99795600,25.43197700,123,0.14747600
SHITOMASI,FREAK,4,1333,10.24431500,29.68872600,120,0.18060800
SHITOMASI,FREAK,5,1284,12.84183200,25.19486600,120,0.15938700
SHITOMASI,FREAK,6,1322,8.35883900,24.91611900,113,0.15758100
SHITOMASI,FREAK,7,1366,8.78247300,26.32844600,114,0.14095100
SHITOMASI,FREAK,8,1389,9.98889800,43.87517900,123,0.15342600
SHITOMASI,FREAK,9,1339,10.64203000,25.05807400,111,0.16319700


SHITOMASI,SIFT,0,1370,10.16680800,11.78973200,0,0.00000000
SHITOMASI,SIFT,1,1301,9.59710200,8.30571800,125,0.39372000
