Detector Type,Descriptor Type,Frame ID,Lidar-Based TTC [ms],Camera-Based TTC [ms]
SHITOMASI,BRISK,0,0.00000000,0.00000000
SHITOMASI,BRISK,1,12.51559999,14.11185384
SHITOMASI,BRISK,2,12.61424528,14.72732828
SHITOMASI,BRISK,3,14.09101251,13.49039508
SHITOMASI,BRISK,4,16.68938579,12.39797730
SHITOMASI,BRISK,5,15.74654436,12.67540426
SHITOMASI,BRISK,6,12.78349116,14.61092163
SHITOMASI,BRISK,7,11.98435083,13.70290913
SHITOMASI,BRISK,8,13.12411806,15.59966843
SHITOMASI,BRISK,9,13.02411806,11.51262162
SHITOMASI,BRISK,10,11.17464148,nan
SHITOMASI,BRISK,11,12.80860114,11.30241136
SHITOMASI,BRISK,12,8.95978042,11.65240646
SHITOMASI,BRISK,13,9.96439004,11.72434389
SHITOMASI,BRISK,14,9.59862989,11.64206086
SHITOMASI,BRISK,15,8.52156620,9.33784559
SHITOMASI,BRISK,16,9.51552489,11.30792967
SHITOMASI,BRISK,17,9.61241487,11.44872438

SHITOMASI,BRIEF,0,0.00000000,0.00000000
SHITOMASI,BRIEF,1,12.51559999,13.89476454
SHITOMASI,BRIEF,2,12.61424528,13.14866990
SHITOMASI,BRIEF,3,14.09101251,14.14125241
SHITOMASI,BRIEF,4,16.68938579,13.33975984
SHITOMASI,BRIEF,5,15.74654436,12.18859699
SHITOMASI,BRIEF,6,12.78349116,15.15605028
SHITOMASI,BRIEF,7,11.98435083,18.33675542
SHITOMASI,BRIEF,8,13.12411806,12.37931428
SHITOMASI,BRIEF,9,13.02411806,12.20834869
SHITOMASI,BRIEF,10,11.17464148,13.34479406
SHITOMASI,BRIEF,11,12.80860114,12.20000000
SHITOMASI,BRIEF,12,8.95978042,12.22938824
SHITOMASI,BRIEF,13,9.96439004,12.32915027
SHITOMASI,BRIEF,14,9.59862989,12.71021224
SHITOMASI,BRIEF,15,8.52156620,12.97883177
SHITOMASI,BRIEF,16,9.51552489,10.72119379
SHITOMASI,BRIEF,17,9.61241487,13.22717020

SHITOMASI,ORB,0,0.00000000,0.00000000
SHITOMASI,ORB,1,12.51559999,13.80028654
SHITOMASI,ORB,2,12.61424528,13.70072728
SHITOMASI,ORB,3,14.09101251,11.89237131
SHITOMASI,ORB,4,16.68938579,12.13189354
SHITOMASI,ORB,5,15.74654436,12.35516432
SHITOMASI,ORB,6,12.78349116,14.02073142
SHITOMASI,ORB,7,11.98435083,13.84336845
SHITOMASI,ORB,8,13.12411806,12.20221886
SHITOMASI,ORB,9,13.02411806,11.26530417
SHITOMASI,ORB,10,11.17464148,13.49616738
SHITOMASI,ORB,11,12.80860114,11.32461892
SHITOMASI,ORB,12,8.95978042,12.76981596
SHITOMASI,ORB,13,9.96439004,12.11192210
SHITOMASI,ORB,14,9.59862989,11.55937962
SHITOMASI,ORB,15,8.52156620,10.25917779
SHITOMASI,ORB,16,9.51552489,12.06858162
SHITOMASI,ORB,17,9.61241487,13.12471064

SHITOMASI,FREAK,0,0.00000000,0.00000000
SHITOMASI,FREAK,1,12.51559999,13.72488681
SHITOMASI,FREAK,2,12.61424528,13.14866990
SHITOMASI,FREAK,3,14.09101251,11.41262343
SHITOMASI,FREAK,4,16.68938579,12.53539806
SHITOMASI,FREAK,5,15.74654436,12.37047382
SHITOMASI,FREAK,6,12.78349116,14.23851761
SHITOMASI,FREAK,7,11.98435083,12.56454285
SHITOMASI,FREAK,8,13.12411806,12.85147289
SHITOMASI,FREAK,9,13.02411806,12.04142504
SHITOMASI,FREAK,10,11.17464148,13.00839550
SHITOMASI,FREAK,11,12.80860114,11.96189950
SHITOMASI,FREAK,12,8.95978042,11.82271520
SHITOMASI,FREAK,13,9.96439004,12.34358359
SHITOMASI,FREAK,14,9.59862989,12.66115703
SHITOMASI,FREAK,15,8.52156620,10.29696335
SHITOMASI,FREAK,16,9.51552489,11.31529590
SHITOMASI,FREAK,17,9.61241487,12.82801599

SHITOMASI,SIFT,0,0.00000000,0.00000000
SHITOMASI,SIFT,1,12.51559999,14.07462635
SHITOMASI,SIFT,2,12.61424528,14.66179588
SHITOMASI,SIFT,3,14.09101251,14.38268897
SHITOMASI,SIFT,4,16.68938579,13.01915737
SHITOMASI,SIFT,5,15.74654436,13.34792661
SHITOMASI,SIFT,6,12.78349116,14.13226100
SHITOMASI,SIFT,7,11.98435083,13.93499364
SHITOMASI,SIFT,8,13.12411806,14.50851091
SHITOMASI,SIFT,9,13.02411806,12.48032257
SHITOMASI,SIFT,10,11.17464148,13.35989109
SHITOMASI,SIFT,11,12.80860114,12.35615687
SHITOMASI,SIFT,12,8.95978042,11.65240646
SHITOMASI,SIFT,13,9.96439004,12.84980620
SHITOMASI,SIFT,14,9.59862989,12.71021224
SHITOMASI,SIFT,15,8.52156620,12.35406875
SHITOMASI,SIFT,16,9.51552489,13.31594842
SHITOMASI,SIFT,17,9.61241487,13.12471064

HARRIS,BRISK,0,0.00000000,0.00000000
HARRIS,BRISK,1,12.51559999,10.90821935
HARRIS,BRISK,2,12.61424528,10.58599631
HARRIS,BRISK,3,14.09101251,-80.85253316
HARRIS,BRISK,4,16.68938579,11.57921595
HARRIS,BRISK,5,15.74654436,nan
HARRIS,BRISK,6,12.78349116,nan
HARRIS,BRISK,7,11.98435083,11.69471401
HARRIS,BRISK,8,13.12411806,17.62038152
HARRIS,BRISK,9,13.02411806,nan
HARRIS,BRISK,10,11.17464148,nan
HARRIS,BRISK,11,12.80860114,nan
HARRIS,BRISK,12,8.95978042,12.24499411
HARRIS,BRISK,13,9.96439004,nan
HARRIS,BRISK,14,9.59862989,nan
HARRIS,BRISK,15,8.52156620,-13.62628318
HARRIS,BRISK,16,9.51552489,6.65725843
HARRIS,BRISK,17,9.61241487,12.58484487

HARRIS,BRIEF,0,0.00000000,0.00000000
HARRIS,BRIEF,1,12.51559999,10.90821935
HARRIS,BRIEF,2,12.61424528,nan
HARRIS,BRIEF,3,14.09101251,nan
HARRIS,BRIEF,4,16.68938579,11.57921595
HARRIS,BRIEF,5,15.74654436,35.38326278
HARRIS,BRIEF,6,12.78349116,13.59071022
HARRIS,BRIEF,7,11.98435083,14.27440174
HARRIS,BRIEF,8,13.12411806,nan
HARRIS,BRIEF,9,13.02411806,nan
HARRIS,BRIEF,10,11.17464148,20.58621609
HARRIS,BRIEF,11,12.80860114,nan
HARRIS,BRIEF,12,8.95978042,12.24499411
HARRIS,BRIEF,13,9.96439004,13.43272498
HARRIS,BRIEF,14,9.59862989,5.60609668
HARRIS,BRIEF,15,8.52156620,nan
HARRIS,BRIEF,16,9.51552489,6.71705481
HARRIS,BRIEF,17,9.61241487,12.58484487

HARRIS,ORB,0,0.00000000,0.00000000
HARRIS,ORB,1,12.51559999,10.90821935
HARRIS,ORB,2,12.61424528,nan
HARRIS,ORB,3,14.09101251,nan
HARRIS,ORB,4,16.68938579,11.57921595
HARRIS,ORB,5,15.74654436,35.38326278
HARRIS,ORB,6,12.78349116,13.59071022
HARRIS,ORB,7,11.98435083,13.49697703
HARRIS,ORB,8,13.12411806,nan
HARRIS,ORB,9,13.02411806,nan
HARRIS,ORB,10,11.17464148,nan
HARRIS,ORB,11,12.80860114,11.74142970
HARRIS,ORB,12,8.95978042,12.24499411
HARRIS,ORB,13,9.96439004,568.32220463
HARRIS,ORB,14,9.59862989,5.66096575
HARRIS,ORB,15,8.52156620,nan
HARRIS,ORB,16,9.51552489,7.03775059
HARRIS,ORB,17,9.61241487,12.58484487

HARRIS,FREAK,0,0.00000000,0.00000000
HARRIS,FREAK,1,12.51559999,9.74952645
HARRIS,FREAK,2,12.61424528,nan
HARRIS,FREAK,3,14.09101251,-80.85253316
HARRIS,FREAK,4,16.68938579,12.12839124
HARRIS,FREAK,5,15.74654436,39.58402863
HARRIS,FREAK,6,12.78349116,nan
HARRIS,FREAK,7,11.98435083,12.33789775
HARRIS,FREAK,8,13.12411806,12.91621035
HARRIS,FREAK,9,13.02411806,nan
HARRIS,FREAK,10,11.17464148,10.29310805
HARRIS,FREAK,11,12.80860114,nan
HARRIS,FREAK,12,8.95978042,nan
HARRIS,FREAK,13,9.96439004,13.43272498
HARRIS,FREAK,14,9.59862989,12.28798481
HARRIS,FREAK,15,8.52156620,nan
HARRIS,FREAK,16,9.51552489,6.71705481
HARRIS,FREAK,17,9.61241487,nan

HARRIS,SIFT,0,0.00000000,0.00000000
HARRIS,SIFT,1,12.51559999,10.90821935
HARRIS,SIFT,2,12.61424528,10.58599631
HARRIS,SIFT,3,14.09101251,-11.47314563
HARRIS,SIFT,4,16.68938579,11.57921595
HARRIS,SIFT,5,15.74654436,35.38326278
HARRIS,SIFT,6,12.78349116,13.62170469
HARRIS,SIFT,7,11.98435083,13.19048104
HARRIS,SIFT,8,13.12411806,nan
HARRIS,SIFT,9,13.02411806,nan
HARRIS,SIFT,10,11.17464148,10.29310805
HARRIS,SIFT,11,12.80860114,11.74142970
HARRIS,SIFT,12,8.95978042,12.24499411
